time (months),crack length (arbitary unit),item_id,ttf_months,Failure mode,fail_in_4m
3,0.0316843691953851,0,2.0,Infant mortality,1
2,0.0161555048185537,1,1.0,Infant mortality,1
3,0.1028604500380809,3,2.0,Infant mortality,1
3,-0.0084045768845339,4,2.0,Infant mortality,1
38,0.9178309046243164,5,38.0,Fatigue crack,0
36,0.9342331450691154,6,36.0,Fatigue crack,0
30,0.7618750840000897,8,30.0,Fatigue crack,0
42,0.8496564785335713,9,42.0,Fatigue crack,0
46,0.9575242019269538,11,46.0,Fatigue crack,0
28,0.348088932465196,12,27.0,Control board failure,0
37,0.8391034018783772,13,37.0,Fatigue crack,0
36,0.8484634026087464,15,36.0,Fatigue crack,0
39,0.8619536142777607,16,39.0,Fatigue crack,0
48,0.880299263439912,17,48.0,Fatigue crack,0
60,0.8269870218442228,19,60.0,Fatigue crack,0
50,0.8663719647290736,21,50.0,Fatigue crack,0
29,0.8588465288429213,24,29.0,Fatigue crack,0
13,0.1643783958545093,25,12.0,Control board failure,0
40,0.8642267069810793,26,40.0,Fatigue crack,0
13,0.1217979939565528,27,12.0,Control board failure,0
35,0.826591689073482,29,35.0,Fatigue crack,0
39,0.8850316318971809,30,39.0,Fatigue crack,0
42,0.8533522060305646,31,42.0,Fatigue crack,0
43,0.943335259702729,32,43.0,Fatigue crack,0
42,0.7275483009171939,33,42.0,Fatigue crack,0
39,0.8958363101521483,34,39.0,Fatigue crack,0
38,0.7649980894772941,36,38.0,Fatigue crack,0
36,0.8497539787701996,37,36.0,Fatigue crack,0
40,0.9681997420214916,39,,,0
51,0.850525161505994,41,51.0,Fatigue crack,0
50,0.8295197530999998,44,50.0,Fatigue crack,0
39,0.888933637094805,45,39.0,Fatigue crack,0
42,0.8750416738097442,46,42.0,Fatigue crack,0
25,0.3740060946378147,47,24.0,Control board failure,0
48,0.9266413246195958,48,48.0,Fatigue crack,0
